Program,Pose,Score
AutoDock-Vina,pose001,-7.5210
AutoDock-Vina,pose002,-7.4850
AutoDock-Vina,pose003,-7.4280
AutoDock-Vina,pose004,-7.3430
AutoDock-Vina,pose005,-7.3000
AutoDock-Vina,pose006,-7.2020
AutoDock-Vina,pose007,-7.1480
AutoDock-Vina,pose008,-6.9250
AutoDock-Vina,pose009,-6.7350
AutoDock-Vina,pose010,-6.7310
