Program,Pose,Score
AutoDock-Vina,pose001,-8.3060
AutoDock-Vina,pose002,-8.0800
AutoDock-Vina,pose003,-7.9640
AutoDock-Vina,pose004,-7.8870
AutoDock-Vina,pose005,-7.5710
AutoDock-Vina,pose006,-7.3220
AutoDock-Vina,pose007,-7.2500
AutoDock-Vina,pose008,-7.2060
AutoDock-Vina,pose009,-7.1930
AutoDock-Vina,pose010,-7.1670
