Program,Pose,Score
AutoDock-Vina,pose001,-7.6170
AutoDock-Vina,pose002,-7.5390
AutoDock-Vina,pose003,-7.3980
AutoDock-Vina,pose004,-7.3960
AutoDock-Vina,pose005,-7.2560
AutoDock-Vina,pose006,-7.1960
AutoDock-Vina,pose007,-7.0680
AutoDock-Vina,pose008,-6.8470
AutoDock-Vina,pose009,-6.8050
AutoDock-Vina,pose010,-6.6390
