Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose007,0.00,-30.22,0.00,-30.22,-2.66,6.37,3.71,6.37,-26.51
GB5,pose008,0.00,-29.20,-0.00,-29.20,-2.61,5.69,3.08,5.69,-26.12
GB5,pose009,0.00,-30.91,0.00,-30.91,-2.63,5.57,2.93,5.57,-27.98
GB5,pose010,0.00,-27.70,-0.00,-27.70,-2.52,9.35,6.83,9.35,-20.87
GB6,pose001,0.00,-33.85,0.00,-33.85,-2.80,13.84,11.04,13.84,-22.81
GB6,pose002,0.00,-33.04,0.00,-33.03,-2.84,12.34,9.51,12.34,-23.53
GB6,pose003,0.00,-33.88,0.00,-33.88,-2.80,14.20,11.40,14.20,-22.48
GB6,pose004,0.00,-30.54,0.00,-30.54,-3.01,20.04,17.03,20.04,-13.51
GB6,pose005,0.00,-30.91,0.00,-30.91,-3.01,22.32,19.32,22.32,-11.60
GB6,pose006,0.00,-31.69,-0.00,-31.69,-2.96,17.68,14.72,17.68,-16.96
GB6,pose007,0.00,-30.22,0.00,-30.22,-2.97,21.66,18.69,21.66,-11.53
GB6,pose008,0.00,-29.20,-0.00,-29.20,-2.92,15.87,12.95,15.87,-16.25
GB6,pose009,0.00,-30.91,0.00,-30.91,-2.90,11.29,8.38,11.29,-22.53
GB6,pose010,0.00,-27.70,-0.00,-27.70,-2.78,21.37,18.59,21.37,-9.11
GB7,pose001,0.00,-33.85,0.00,-33.85,-2.91,5.90,2.98,5.90,-30.86
GB7,pose002,0.00,-33.04,0.00,-33.03,-2.91,2.93,0.02,2.93,-33.01
GB7,pose003,0.00,-33.88,0.00,-33.88,-2.92,5.32,2.40,5.32,-31.48
GB7,pose004,0.00,-30.54,0.00,-30.54,-2.70,5.88,3.19,5.88,-27.35
GB7,pose005,0.00,-30.91,0.00,-30.91,-2.71,6.50,3.79,6.50,-27.12
GB7,pose006,0.00,-31.69,-0.00,-31.69,-2.77,5.61,2.84,5.61,-28.85
GB7,pose007,0.00,-30.22,0.00,-30.22,-2.66,5.79,3.13,5.79,-27.10
GB7,pose008,0.00,-29.20,-0.00,-29.20,-2.61,4.73,2.13,4.73,-27.07
