Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose006,0.00,-32.01,-0.00,-32.01,-2.77,6.78,4.01,6.78,-28.00
GB5,pose007,0.00,-31.52,-0.00,-31.53,-2.84,6.68,3.84,6.68,-27.69
GB5,pose008,0.00,-26.94,-0.00,-26.94,-2.46,10.10,7.64,10.10,-19.30
GB5,pose009,0.00,-29.59,-0.00,-29.59,-2.38,12.47,10.09,12.47,-19.49
GB5,pose010,0.00,-27.23,-0.00,-27.24,-2.57,5.87,3.30,5.87,-23.93
GB6,pose001,0.00,-34.68,-0.00,-34.68,-2.76,12.70,9.94,12.70,-24.74
GB6,pose002,0.00,-33.95,-0.00,-33.95,-2.85,14.50,11.65,14.50,-22.30
GB6,pose003,0.00,-33.75,-0.00,-33.75,-2.81,9.26,6.45,9.26,-27.30
GB6,pose004,0.00,-34.30,-0.00,-34.31,-2.79,13.02,10.23,13.02,-24.08
GB6,pose005,0.00,-31.96,-0.00,-31.96,-2.95,13.23,10.28,13.23,-21.68
GB6,pose006,0.00,-32.01,-0.00,-32.01,-2.97,17.25,14.28,17.25,-17.73
GB6,pose007,0.00,-31.52,-0.00,-31.53,-3.01,14.08,11.07,14.08,-20.46
GB6,pose008,0.00,-26.94,-0.00,-26.94,-2.75,20.32,17.56,20.32,-9.38
GB6,pose009,0.00,-29.59,-0.00,-29.59,-2.79,30.78,27.99,30.78,-1.60
GB6,pose010,0.00,-27.23,-0.00,-27.24,-3.11,19.42,16.30,19.42,-10.93
GB7,pose001,0.00,-34.68,-0.00,-34.68,-2.94,6.52,3.58,6.52,-31.10
GB7,pose002,0.00,-33.95,-0.00,-33.95,-2.92,6.15,3.23,6.15,-30.72
GB7,pose003,0.00,-33.75,-0.00,-33.75,-2.85,4.57,1.72,4.57,-32.03
GB7,pose004,0.00,-34.30,-0.00,-34.31,-2.98,6.74,3.77,6.74,-30.54
GB7,pose005,0.00,-31.96,-0.00,-31.96,-2.82,4.69,1.87,4.69,-30.09
GB7,pose006,0.00,-32.01,-0.00,-32.01,-2.77,6.64,3.86,6.64,-28.15
GB7,pose007,0.00,-31.52,-0.00,-31.53,-2.84,7.14,4.31,7.14,-27.22
GB7,pose008,0.00,-26.94,-0.00,-26.94,-2.46,10.45,7.98,10.45,-18.96
GB7,pose009,0.00,-29.59,-0.00,-29.59,-2.38,13.58,11.19,13.58,-18.39
GB7,pose010,0.00,-27.23,-0.00,-27.24,-2.57,4.55,1.99,4.55,-25.25
GB8,pose001,0.00,-34.68,-0.00,-34.68,-2.94,7.31,4.37,7.31,-30.31
GB8,pose002,0.00,-33.95,-0.00,-33.95,-2.92,6.50,3.58,6.50,-30.37
GB8,pose003,0.00,-33.75,-0.00,-33.75,-2.85,5.27,2.43,5.27,-31.32
GB8,pose004,0.00,-34.30,-0.00,-34.31,-2.98,8.32,5.34,8.32,-28.97
GB8,pose005,0.00,-31.96,-0.00,-31.96,-2.82,6.15,3.33,6.15,-28.63
GB8,pose006,0.00,-32.01,-0.00,-32.01,-2.77,9.56,6.79,9.56,-25.22
GB8,pose007,0.00,-31.52,-0.00,-31.53,-2.84,9.08,6.24,9.08,-25.28
GB8,pose008,0.00,-26.94,-0.00,-26.94,-2.46,13.32,10.86,13.32,-16.09
GB8,pose009,0.00,-29.59,-0.00,-29.59,-2.38,18.32,15.94,18.32,-13.65
GB8,pose010,0.00,-27.23,-0.00,-27.24,-2.57,6.72,4.15,6.72,-23.09
