Program,Pose,Score
AutoDock-Vina,pose001,-7.7970
AutoDock-Vina,pose002,-7.5260
AutoDock-Vina,pose003,-7.4380
AutoDock-Vina,pose004,-7.4360
AutoDock-Vina,pose005,-7.3930
AutoDock-Vina,pose006,-7.1970
AutoDock-Vina,pose007,-6.8130
AutoDock-Vina,pose008,-6.6340
AutoDock-Vina,pose009,-6.6060
AutoDock-Vina,pose010,-6.1260
