Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose006,0.00,-31.31,-0.00,-31.31,-2.84,6.26,3.42,6.26,-27.89
GB5,pose007,0.00,-29.63,-0.00,-29.63,-2.69,5.78,3.08,5.78,-26.55
GB5,pose008,0.00,-28.54,-0.00,-28.54,-2.63,5.79,3.16,5.79,-25.38
GB5,pose009,0.00,-30.41,-0.00,-30.41,-2.68,6.14,3.46,6.14,-26.95
GB5,pose010,0.00,-30.19,-0.00,-30.19,-2.71,5.47,2.76,5.47,-27.43
GB6,pose001,0.00,-32.51,-0.00,-32.51,-2.75,13.59,10.84,13.59,-21.67
GB6,pose002,0.00,-32.17,-0.00,-32.17,-2.91,13.21,10.30,13.21,-21.88
GB6,pose003,0.00,-34.75,-0.00,-34.75,-2.74,12.23,9.48,12.23,-25.27
GB6,pose004,0.00,-34.53,-0.00,-34.53,-2.71,13.49,10.78,13.49,-23.75
GB6,pose005,0.00,-31.39,-0.00,-31.39,-3.01,16.31,13.30,16.31,-18.09
GB6,pose006,0.00,-31.31,-0.00,-31.31,-2.90,11.62,8.72,11.62,-22.59
GB6,pose007,0.00,-29.63,-0.00,-29.63,-3.00,17.89,14.88,17.89,-14.75
GB6,pose008,0.00,-28.54,-0.00,-28.54,-3.09,16.93,13.84,16.93,-14.70
GB6,pose009,0.00,-30.41,-0.00,-30.41,-2.94,13.42,10.48,13.42,-19.94
GB6,pose010,0.00,-30.19,-0.00,-30.19,-3.00,13.62,10.61,13.62,-19.58
GB7,pose001,0.00,-32.51,-0.00,-32.51,-2.84,5.10,2.26,5.10,-30.25
GB7,pose002,0.00,-32.17,-0.00,-32.17,-2.82,6.11,3.29,6.11,-28.88
GB7,pose003,0.00,-34.75,-0.00,-34.75,-2.95,4.28,1.33,4.28,-33.42
GB7,pose004,0.00,-34.53,-0.00,-34.53,-2.89,4.35,1.46,4.35,-33.07
GB7,pose005,0.00,-31.39,-0.00,-31.39,-2.75,5.91,3.15,5.91,-28.24
GB7,pose006,0.00,-31.31,-0.00,-31.31,-2.84,5.60,2.76,5.60,-28.55
GB7,pose007,0.00,-29.63,-0.00,-29.63,-2.69,5.76,3.07,5.76,-26.56
GB7,pose008,0.00,-28.54,-0.00,-28.54,-2.63,5.18,2.55,5.18,-25.99
GB7,pose009,0.00,-30.41,-0.00,-30.41,-2.68,5.89,3.21,5.89,-27.20
GB7,pose010,0.00,-30.19,-0.00,-30.19,-2.71,5.60,2.90,5.60,-27.30
GB8,pose001,0.00,-32.51,-0.00,-32.51,-2.84,8.09,5.25,8.09,-27.26
GB8,pose002,0.00,-32.17,-0.00,-32.17,-2.82,8.68,5.86,8.68,-26.32
GB8,pose003,0.00,-34.75,-0.00,-34.75,-2.95,6.84,3.90,6.84,-30.85
GB8,pose004,0.00,-34.53,-0.00,-34.53,-2.89,8.28,5.39,8.28,-29.14
GB8,pose005,0.00,-31.39,-0.00,-31.39,-2.75,8.04,5.29,8.04,-26.10
GB8,pose006,0.00,-31.31,-0.00,-31.31,-2.84,8.32,5.48,8.32,-25.83
GB8,pose007,0.00,-29.63,-0.00,-29.63,-2.69,9.11,6.42,9.11,-23.21
GB8,pose008,0.00,-28.54,-0.00,-28.54,-2.63,7.29,4.66,7.29,-23.88
GB8,pose009,0.00,-30.41,-0.00,-30.41,-2.68,7.10,4.42,7.10,-25.99
GB8,pose010,0.00,-30.19,-0.00,-30.19,-2.71,6.98,4.27,6.98,-25.92
